position_id,name,instrument_type,asset_class,factor,target_weight,initial_market_value,modified_duration,convexity,quote_convention,target_notional_fraction_of_nav,initial_notional
SPY,SPDR S&P 500 ETF Trust,etf,US Equity,SPY_RETURN,0.1,1000000.0,,,,,
QQQ,Invesco QQQ Trust,etf,US Equity,QQQ_RETURN,0.05,500000.0,,,,,
IWM,iShares Russell 2000 ETF,etf,US Equity,IWM_RETURN,0.04,400000.0,,,,,
EFA,iShares MSCI EAFE ETF,etf,International Equity,EFA_RETURN,0.07,700000.0000000001,,,,,
EEM,iShares MSCI Emerging Markets ETF,etf,Emerging Markets Equity,EEM_RETURN,0.04,400000.0,,,,,
VNQ,Vanguard Real Estate ETF,etf,Real Estate,VNQ_RETURN,0.03,300000.0,,,,,
AAPL,Apple Inc.,equity,US Equity,AAPL_RETURN,0.02,200000.0,,,,,
MSFT,Microsoft Corporation,equity,US Equity,MSFT_RETURN,0.02,200000.0,,,,,
JPM,JPMorgan Chase & Co.,equity,US Equity,JPM_RETURN,0.02,200000.0,,,,,
JNJ,Johnson & Johnson,equity,US Equity,JNJ_RETURN,0.02,200000.0,,,,,
XOM,Exxon Mobil Corporation,equity,US Equity,XOM_RETURN,0.02,200000.0,,,,,
LQD,iShares iBoxx Investment Grade Corporate Bond ETF,etf,Investment Grade Credit,LQD_RETURN,0.06,600000.0,,,,,
HYG,iShares iBoxx High Yield Corporate Bond ETF,etf,High Yield Credit,HYG_RETURN,0.04,400000.0,,,,,
TIP,iShares TIPS Bond ETF,etf,Inflation-Linked Bonds,TIP_RETURN,0.05,500000.0,,,,,
US2Y,US 2Y Synthetic Constant-Sensitivity Bond,bond,Government Bonds,DGS2_CHANGE,0.05,500000.0,1.9,4.0,,,
US5Y,US 5Y Synthetic Constant-Sensitivity Bond,bond,Government Bonds,DGS5_CHANGE,0.06,600000.0,4.5,22.0,,,
US10Y,US 10Y Synthetic Constant-Sensitivity Bond,bond,Government Bonds,DGS10_CHANGE,0.06,600000.0,8.0,70.0,,,
US30Y,US 30Y Synthetic Constant-Sensitivity Bond,bond,Government Bonds,DGS30_CHANGE,0.03,300000.0,17.0,310.0,,,
GLD,SPDR Gold Shares,etf,Precious Metals,GLD_RETURN,0.06,600000.0,,,,,
SLV,iShares Silver Trust,etf,Precious Metals,SLV_RETURN,0.02,200000.0,,,,,
PPLT,abrdn Physical Platinum Shares ETF,etf,Precious Metals,PPLT_RETURN,0.01,100000.0,,,,,
DBC,Invesco DB Commodity Index Tracking Fund,etf,Commodities,DBC_RETURN,0.04,400000.0,,,,,
USO,United States Oil Fund,etf,Commodities,USO_RETURN,0.02,200000.0,,,,,
USD_CASH,USD Cash,cash,Cash,CASH_RETURN,0.06999999999999962,699999.9999999962,,,,,
EURUSD_OVERLAY,Long EUR / Short USD Overlay,fx_forward,FX,EURUSD_RETURN,,0.0,,,USD_per_EUR,0.05,500000.0
